section,subject,chapter_number,chapter_name_bn,chapter_name_en,question_type,cq_importance,mcq_importance,math_importance,time_cq_min,time_mcq_min,time_math_min,time_revision_min
বিজ্ঞান,উচ্চতর গণিত,7,অসীম ধারা,Infinite Series,Math,0,4,4,0,25,65,20
বিজ্ঞান,উচ্চতর গণিত,8,ত্রিকোণমিতি,Trigonometry,Math,0,5,5,0,30,85,25
বিজ্ঞান,উচ্চতর গণিত,9,সূচকীয় ও লগারিদমীয় ফাংশন,Exponential and Logarithmic Functions,Math,0,4,5,0,25,75,25
বিজ্ঞান,উচ্চতর গণিত,10,দ্বিপদী বিস্তৃতি,Binomial Expansion,Math,0,4,4,0,25,65,20
বিজ্ঞান,উচ্চতর গণিত,11,স্থানাঙ্ক জ্যামিতি,Coordinate Geometry,Math,0,4,5,0,30,80,25
বিজ্ঞান,উচ্চতর গণিত,12,সমতলীয় ভেক্টর,Planar Vectors,Math,0,3,4,0,25,60,20
বিজ্ঞান,উচ্চতর গণিত,13,ঘনজ্যামিতি,Solid Geometry,Math,0,3,4,0,25,65,20
বিজ্ঞান,উচ্চতর গণিত,14,সম্ভাবনা,Probability,Math,0,4,4,0,25,60,20
বিজ্ঞান,বাংলা ১ম পত্র,1,সুভা (রবীন্দ্রনাথ ঠাকুর),Subha (Rabindranath Tagore),CQ+MCQ,4,4,0,60,25,0,20
বিজ্ঞান,বাংলা ১ম পত্র,2,বই পড়া (প্রমথ চৌধুরী),Boi Pora (Pramatha Chowdhury),CQ+MCQ,3,3,0,55,25,0,15
বিজ্ঞান,বাংলা ১ম পত্র,3,আম-আঁটির ভেঁপু (বিভূতিভূষণ বন্দ্যোপাধ্যায়),Am-Antir Venpu (Bibhutibhushan),CQ+MCQ,4,4,0,55,25,0,20
বিজ্ঞান,বাংলা ১ম পত্র,4,মানুষ মুহম্মদ (সা.) (মোহাম্মদ ওয়াজেদ আলী),Manush Muhammad (Wajed Ali),CQ+MCQ,3,3,0,50,20,0,15
বিজ্ঞান,বাংলা ১ম পত্র,5,নিমগাছ (বনফুল),Nimgachh (Banaphul),CQ+MCQ,3,3,0,45,20,0,15
বিজ্ঞান,বাংলা ১ম পত্র,6,শিক্ষা ও মনুষ্যত্ব (মোতাহের হোসেন চৌধুরী),Shikkha O Monushyotto,CQ+MCQ,4,4,0,55,25,0,20
বিজ্ঞান,বাংলা ১ম পত্র,7,প্রবাস বন্ধু (সৈয়দ মুজতবা আলী),Probash Bondhu (Mujtaba Ali),CQ+MCQ,3,3,0,50,20,0,15
বিজ্ঞান,বাংলা ১ম পত্র,8,মমতাদি (মানিক বন্দ্যোপাধ্যায়),Momotadi (Manik Bandyopadhyay),CQ+MCQ,4,4,0,55,25,0,20
বিজ্ঞান,বাংলা ১ম পত্র,9,একাত্তরের দিনগুলি (জাহানারা ইমাম),Ekattorer Dinguli (Jahanara Imam),CQ+MCQ,5,4,0,60,25,0,20
বিজ্ঞান,বাংলা ১ম পত্র,10,সাহিত্যের রূপ ও রীতি (হায়াৎ মামুদ),Sahityer Rup O Riti (Hayat Mamud),CQ+MCQ,2,3,0,45,20,0,15
বিজ্ঞান,বাংলা ১ম পত্র,11,বঙ্গবাণী (আবদুল হাকিম),Bangabani (Abdul Hakim) - Poetry,CQ+MCQ,4,4,0,55,25,0,20
বিজ্ঞান,বাংলা ১ম পত্র,12,কপোতাক্ষ নদ (মাইকেল মধুসূদন দত্ত),Kapotakkho Nod (Michael Madhusudan) - Poetry,CQ+MCQ,5,5,0,60,30,0,20
বিজ্ঞান,বাংলা ১ম পত্র,13,জীবন-সঙ্গীত (হেমচন্দ্র বন্দ্যোপাধ্যায়),Jibon Songit (Hemchandra) - Poetry,CQ+MCQ,3,3,0,50,20,0,15
বিজ্ঞান,বাংলা ১ম পত্র,14,মানুষ (কাজী নজরুল ইসলাম),Manush (Kazi Nazrul Islam) - Poetry,CQ+MCQ,5,5,0,60,30,0,25
বিজ্ঞান,বাংলা ১ম পত্র,15,সেইদিন এই মাঠ (জীবনানন্দ দাশ),Seidin Ei Math (Jibanananda Das) - Poetry,CQ+MCQ,3,3,0,50,20,0,15
বিজ্ঞান,বাংলা ১ম পত্র,16,পল্লিজননী (জসীমউদ্দীন),Pollijononee (Jasimuddin) - Poetry,CQ+MCQ,4,4,0,55,25,0,20
বিজ্ঞান,বাংলা ১ম পত্র,17,রানার (সুকান্ত ভট্টাচার্য),Ranar (Sukanta Bhattacharya) - Poetry,CQ+MCQ,3,3,0,50,20,0,15
বিজ্ঞান,বাংলা ১ম পত্র,18,তোমাকে পাওয়ার জন্যে হে স্বাধীনতা (শামসুর রাহমান),Tomake Pawar Jonno He Shadhinota (Shamsur Rahman) - Poetry,CQ+MCQ,5,5,0,60,30,0,25
বিজ্ঞান,বাংলা ১ম পত্র,19,আমার পরিচয় (সৈয়দ শামসুল হক),Amar Porichoy (Syed Shamsul Haq) - Poetry,CQ+MCQ,4,4,0,55,25,0,20
বিজ্ঞান,বাংলা ১ম পত্র,20,"স্বাধীনতা, এই শব্দটি কীভাবে আমাদের হলো (নির্মলেন্দু গুণ)",Shadhinota Ei Shobdoti (Nirmalendu Goon) - Poetry,CQ+MCQ,4,5,0,55,25,0,20
বিজ্ঞান,বাংলা ২য় পত্র,1,ভাষা,Language,CQ+MCQ,3,4,0,45,25,0,15
বিজ্ঞান,বাংলা ২য় পত্র,2,বর্ণ প্রকরণ,Phonology,CQ+MCQ,3,4,0,45,25,0,15
বিজ্ঞান,বাংলা ২য় পত্র,3,শব্দ প্রকরণ,Word Formation,CQ+MCQ,4,5,0,50,30,0,20
বিজ্ঞান,বাংলা ২য় পত্র,4,পদ প্রকরণ,Parts of Speech,CQ+MCQ,5,5,0,55,30,0,20
বিজ্ঞান,বাংলা ২য় পত্র,5,বাক্য প্রকরণ,Sentence Structure,CQ+MCQ,4,4,0,50,25,0,20
বিজ্ঞান,বাংলা ২য় পত্র,6,বানান ও বিরাম চিহ্ন,Spelling and Punctuation,CQ+MCQ,3,4,0,40,25,0,15
বিজ্ঞান,বাংলা ২য় পত্র,7,বাগধারা ও প্রবাদ-প্রবচন,Idioms and Proverbs,CQ+MCQ,3,5,0,40,30,0,15
বিজ্ঞান,বাংলা ২য় পত্র,8,সারাংশ ও সারমর্ম,Summary Writing,CQ+MCQ,4,3,0,55,20,0,20
বিজ্ঞান,বাংলা ২য় পত্র,9,ভাব-সম্প্রসারণ,Idea Expansion,CQ+MCQ,4,2,0,55,15,0,20
বিজ্ঞান,বাংলা ২য় পত্র,10,পত্র লিখন,Letter Writing,CQ+MCQ,5,2,0,60,15,0,20
বিজ্ঞান,বাংলা ২য় পত্র,11,প্রবন্ধ রচনা,Essay Writing,CQ+MCQ,5,2,0,75,15,0,25
বিজ্ঞান,English 1st Paper,1,People Who Make a Difference,People Who Make a Difference,English-1,4,4,0,50,25,0,20
বিজ্ঞান,English 1st Paper,2,Pastimes,Pastimes,English-1,3,3,0,45,25,0,15
বিজ্ঞান,English 1st Paper,3,Events and Festivals,Events and Festivals,English-1,3,4,0,45,25,0,15
বিজ্ঞান,English 1st Paper,4,Are We Aware?,Are We Aware?,English-1,4,4,0,50,25,0,20
বিজ্ঞান,English 1st Paper,5,Nature and Environment,Nature and Environment,English-2,4,4,0,50,25,0,20
বিজ্ঞান,English 1st Paper,6,Health and Hygiene,Health and Hygiene,English-2,3,3,0,45,25,0,15
বিজ্ঞান,English 1st Paper,7,Human Rights,Human Rights,English-1,3,3,0,45,20,0,15
বিজ্ঞান,English 1st Paper,8,Dreams,Dreams,English-1,3,3,0,45,20,0,15
বিজ্ঞান,English 1st Paper,9,Food and Nutrition,Food and Nutrition,English-1,3,3,0,45,25,0,15
বিজ্ঞান,English 1st Paper,10,Adolescence and Social Values,Adolescence and Social Values,English-1,4,4,0,50,25,0,20
বিজ্ঞান,English 2nd Paper,1,Tenses and Right Forms of Verbs,Tenses and Right Forms of Verbs,English-2,5,5,0,60,35,0,25
বিজ্ঞান,English 2nd Paper,2,Prepositions and Articles,Prepositions and Articles,English-2,4,5,0,50,30,0,20
বিজ্ঞান,English 2nd Paper,3,Transformation of Sentences,Transformation of Sentences,English-2,5,4,0,55,30,0,20
বিজ্ঞান,English 2nd Paper,4,Narration and Voice Change,Narration and Voice Change,English-2,5,5,0,60,35,0,25
বিজ্ঞান,English 2nd Paper,5,Subject-Verb Agreement,Subject-Verb Agreement,English-2,3,4,0,40,25,0,15
বিজ্ঞান,English 2nd Paper,6,Paragraph Writing,Paragraph Writing,English-3,5,0,0,65,0,0,25
বিজ্ঞান,English 2nd Paper,7,Composition and Letter Writing,Composition and Letter Writing,English-3,5,0,0,70,0,0,25
বিজ্ঞান,English 2nd Paper,8,Completing Story and Dialogue,Completing Story and Dialogue Writing,English-3,4,0,0,55,0,0,20
বিজ্ঞান,English 2nd Paper,9,Graph and Chart Description,Graph and Chart Description,English-4,3,0,0,45,0,0,15
বিজ্ঞান,English 2nd Paper,10,Email and CV Writing,Email and CV Writing,English-4,3,0,0,45,0,0,15
বিজ্ঞান,তথ্য ও যোগাযোগ প্রযুক্তি,1,তথ্য ও যোগাযোগ প্রযুক্তি এবং আমাদের বাংলাদেশ,ICT and Our Bangladesh,MCQ-only,0,5,0,0,40,0,20
বিজ্ঞান,তথ্য ও যোগাযোগ প্রযুক্তি,2,কম্পিউটার ও কম্পিউটার ব্যবহারকারীর নিরাপত্তা,Computer and User Safety,MCQ-only,0,4,0,0,35,0,20
বিজ্ঞান,তথ্য ও যোগাযোগ প্রযুক্তি,3,আমার শিক্ষায় ইন্টারনেট,Internet in My Education,MCQ-only,0,4,0,0,35,0,15
বিজ্ঞান,তথ্য ও যোগাযোগ প্রযুক্তি,4,আমার লেখালেখি ও হিসাব,My Writing and Calculations,MCQ-only,0,4,0,0,35,0,15
বিজ্ঞান,তথ্য ও যোগাযোগ প্রযুক্তি,5,মাল্টিমিডিয়া ও গ্রাফিক্স,Multimedia and Graphics,MCQ-only,0,3,0,0,30,0,15
বিজ্ঞান,তথ্য ও যোগাযোগ প্রযুক্তি,6,ডেটাবেজের ব্যবহার,Use of Database,MCQ-only,0,4,0,0,35,0,15
বিজ্ঞান,বাংলাদেশ ও বিশ্বপরিচয়,1,পূর্ব বাংলার আন্দোলন ও বাংলাদেশের অভ্যুদয়,Movements of East Bengal and Emergence of Bangladesh,CQ+MCQ,5,5,0,65,30,0,25
বিজ্ঞান,বাংলাদেশ ও বিশ্বপরিচয়,2,স্বাধীন বাংলাদেশ,Independent Bangladesh,CQ+MCQ,4,4,0,55,25,0,20
বিজ্ঞান,বাংলাদেশ ও বিশ্বপরিচয়,3,বাংলাদেশের সম্পদ,Resources of Bangladesh,CQ+MCQ,3,4,0,50,25,0,15
বিজ্ঞান,বাংলাদেশ ও বিশ্বপরিচয়,4,বাংলাদেশের অর্থনীতি,Economy of Bangladesh,CQ+MCQ,4,4,0,55,25,0,20
বিজ্ঞান,বাংলাদেশ ও বিশ্বপরিচয়,5,বাংলাদেশের সরকার ব্যবস্থা ও রাজনীতি,Government System and Politics,CQ+MCQ,4,4,0,55,25,0,20
বিজ্ঞান,বাংলাদেশ ও বিশ্বপরিচয়,6,বাংলাদেশের জনসংখ্যা ও উন্নয়ন,Population and Development,CQ+MCQ,3,3,0,50,25,0,15
বিজ্ঞান,বাংলাদেশ ও বিশ্বপরিচয়,7,বাংলাদেশের সামাজিক সমস্যা ও প্রতিকার,Social Problems and Remedies,CQ+MCQ,4,4,0,55,25,0,20
বিজ্ঞান,বাংলাদেশ ও বিশ্বপরিচয়,8,বাংলাদেশের সংস্কৃতি ও ঐতিহ্য,Culture and Heritage of Bangladesh,CQ+MCQ,3,3,0,45,20,0,15
বিজ্ঞান,বাংলাদেশ ও বিশ্বপরিচয়,9,বিশ্ব পরিচয়,Introduction to the World,CQ+MCQ,3,4,0,50,25,0,15
বিজ্ঞান,বাংলাদেশ ও বিশ্বপরিচয়,10,জাতিসংঘ ও বাংলাদেশ,United Nations and Bangladesh,CQ+MCQ,3,3,0,45,25,0,15
বিজ্ঞান,ধর্ম ও নৈতিক শিক্ষা,1,আকাইদ ও নৈতিক জীবন,Aqaid and Moral Life,CQ+MCQ,4,4,0,50,25,0,20
বিজ্ঞান,ধর্ম ও নৈতিক শিক্ষা,2,ইবাদত,Ibadat (Worship),CQ+MCQ,5,5,0,55,30,0,20
বিজ্ঞান,ধর্ম ও নৈতিক শিক্ষা,3,কুরআন ও হাদিস শিক্ষা,Quran and Hadith Studies,CQ+MCQ,5,5,0,60,30,0,25
বিজ্ঞান,ধর্ম ও নৈতিক শিক্ষা,4,আখলাক,Akhlaq (Character),CQ+MCQ,4,4,0,50,25,0,20
বিজ্ঞান,ধর্ম ও নৈতিক শিক্ষা,5,আদর্শ জীবনচরিত,Model Biographies,CQ+MCQ,3,3,0,45,20,0,15
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,1,ইতিহাস পরিচিতি,Introduction to History,CQ+MCQ,3,4,0,50,25,0,15
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,2,"বিশ্বসভ্যতা (মিশর, সিন্ধু, গ্রিক ও রোম)","World Civilization (Egypt, Indus, Greek, Rome)",CQ+MCQ,5,5,0,75,35,0,25
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,3,প্রাচীন বাংলার জনপদ,Ancient Settlements of Bengal,CQ+MCQ,4,4,0,55,25,0,20
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,4,প্রাচীন বাংলার রাজনৈতিক ইতিহাস,Political History of Ancient Bengal,CQ+MCQ,4,4,0,60,30,0,20
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,5,"প্রাচীন বাংলার সামাজিক, অর্থনৈতিক ও সাংস্কৃতিক ইতিহাস","Social, Economic and Cultural History of Ancient Bengal",CQ+MCQ,3,3,0,55,25,0,20
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,6,মধ্যযুগের বাংলার রাজনৈতিক ইতিহাস,Political History of Medieval Bengal,CQ+MCQ,4,4,0,60,30,0,20
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,7,"মধ্যযুগের বাংলার সামাজিক, অর্থনৈতিক ও সাংস্কৃতিক ইতিহাস","Social, Economic and Cultural History of Medieval Bengal",CQ+MCQ,3,3,0,55,25,0,15
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,8,বাংলায় ইংরেজ শাসনের সূচনাপর্ব,Commencement of British Rule in Bengal,CQ+MCQ,4,4,0,60,30,0,20
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,9,"ইংরেজ শাসন আমলে প্রতিরোধ, নবজাগরণ ও সংস্কার আন্দোলন","Resistance, Renaissance and Reform Movements",CQ+MCQ,5,5,0,70,35,0,25
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,10,ইংরেজ শাসন আমলে স্বাধিকার আন্দোলন,Self-determination Movement during British Rule,CQ+MCQ,4,4,0,60,30,0,20
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,11,ভাষা আন্দোলন ও পরবর্তী রাজনৈতিক ঘটনাপ্রবাহ,Language Movement and Subsequent Political Events,CQ+MCQ,5,5,0,65,35,0,25
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,12,সামরিক শাসন ও স্বাধিকার আন্দোলন (১৯৫৮-১৯৬৯),Military Rule and Self-determination (1958-1969),CQ+MCQ,4,4,0,60,30,0,20
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,13,সত্তরের নির্বাচন এবং মুক্তিযুদ্ধ,Election of 1970 and Liberation War,CQ+MCQ,5,5,0,70,35,0,25
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,14,বঙ্গবন্ধু শেখ মুজিবুর রহমানের শাসনকাল (১৯৭২-১৯৭৫),Sheikh Mujibur Rahman Era (1972-1975),CQ+MCQ,4,4,0,55,25,0,20
মানবিক,ইতিহাস ও বিশ্বসভ্যতা,15,সামরিক শাসন ও পরবর্তী ঘটনাপ্রবাহ (১৯৭৫-১৯৯০),Military Rule and Subsequent Events (1975-1990),CQ+MCQ,3,3,0,50,25,0,15
মানবিক,পৌরনীতি ও নাগরিকতা,1,পৌরনীতি ও নাগরিকতা,Civics and Citizenship,CQ+MCQ,3,4,0,45,25,0,15
মানবিক,পৌরনীতি ও নাগরিকতা,2,নাগরিক ও নাগরিকতা,Citizens and Citizenship,CQ+MCQ,5,5,0,60,30,0,25
মানবিক,পৌরনীতি ও নাগরিকতা,3,"আইন, স্বাধীনতা ও সাম্য","Law, Liberty and Equality",CQ+MCQ,4,4,0,55,25,0,20
মানবিক,পৌরনীতি ও নাগরিকতা,4,রাষ্ট্র ও সরকার ব্যবস্থা,State and Government System,CQ+MCQ,5,5,0,60,30,0,25
মানবিক,পৌরনীতি ও নাগরিকতা,5,সংবিধান,Constitution,CQ+MCQ,5,5,0,65,30,0,25
মানবিক,পৌরনীতি ও নাগরিকতা,6,বাংলাদেশের সরকার ব্যবস্থা,Government System of Bangladesh,CQ+MCQ,5,5,0,65,35,0,25
মানবিক,পৌরনীতি ও নাগরিকতা,7,গণতন্ত্রে রাজনৈতিক দল ও নির্বাচন,Political Parties and Elections in Democracy,CQ+MCQ,4,4,0,55,25,0,20
মানবিক,পৌরনীতি ও নাগরিকতা,8,বাংলাদেশের স্থানীয় সরকার ব্যবস্থা,Local Government System of Bangladesh,CQ+MCQ,4,4,0,55,25,0,20
মানবিক,পৌরনীতি ও নাগরিকতা,9,নাগরিক সমস্যা ও আমাদের করণীয়,Civic Problems and Our Duties,CQ+MCQ,3,3,0,50,25,0,15
মানবিক,পৌরনীতি ও নাগরিকতা,10,স্বাধীন বাংলাদেশের অভ্যুদয়ে নাগরিক চেতনা,Civic Consciousness in Emergence of Bangladesh,CQ+MCQ,4,4,0,55,25,0,20
মানবিক,ভূগোল ও পরিবেশ,1,ভূগোল ও পরিবেশ পরিচিতি,Introduction to Geography and Environment,CQ+MCQ,3,4,0,45,25,0,15
মানবিক,ভূগোল ও পরিবেশ,2,মহাবিশ্ব ও আমাদের পৃথিবী,Universe and Our Earth,CQ+MCQ,4,4,0,55,30,0,20
মানবিক,ভূগোল ও পরিবেশ,3,মানচিত্র পঠন ও ব্যবহার,Map Reading and Usage,CQ+MCQ,4,4,0,55,25,0,20
মানবিক,ভূগোল ও পরিবেশ,4,পৃথিবীর অভ্যন্তরীণ ও বাহ্যিক গঠন,Internal and External Structure of Earth,CQ+MCQ,5,5,0,65,30,0,25
মানবিক,ভূগোল ও পরিবেশ,5,বায়ুমণ্ডল,Atmosphere,CQ+MCQ,5,5,0,65,35,0,25
মানবিক,ভূগোল ও পরিবেশ,6,বারিমণ্ডল,Hydrosphere,CQ+MCQ,4,4,0,55,25,0,20
মানবিক,ভূগোল ও পরিবেশ,7,জনসংখ্যা,Population,CQ+MCQ,3,4,0,50,25,0,15
মানবিক,ভূগোল ও পরিবেশ,8,মানব বসতি,Human Settlements,CQ+MCQ,3,3,0,50,25,0,15
মানবিক,ভূগোল ও পরিবেশ,9,সম্পদ ও অর্থনৈতিক কার্যাবলি,Resources and Economic Activities,CQ+MCQ,4,4,0,55,25,0,20
মানবিক,ভূগোল ও পরিবেশ,10,বাংলাদেশের ভৌগোলিক বিবরণ,Geographical Description of Bangladesh,CQ+MCQ,5,5,0,65,30,0,25
মানবিক,ভূগোল ও পরিবেশ,11,বাংলাদেশের সম্পদ ও শিল্প,Resources and Industries of Bangladesh,CQ+MCQ,4,4,0,55,25,0,20
মানবিক,ভূগোল ও পরিবেশ,12,বাংলাদেশের প্রাকৃতিক দুর্যোগ,Natural Disasters of Bangladesh,CQ+MCQ,4,4,0,55,25,0,20
মানবিক,সাধারণ গণিত,1,বাস্তব সংখ্যা,Real Numbers,Math,0,4,5,0,25,70,25
মানবিক,সাধারণ গণিত,2,সেট ও ফাংশন,Sets and Functions,Math,0,4,5,0,25,65,20
মানবিক,সাধারণ গণিত,3,বীজগাণিতিক রাশি,Algebraic Expressions,Math,0,4,5,0,25,70,25
মানবিক,সাধারণ গণিত,4,সূচক ও লগারিদম,Exponents and Logarithms,Math,0,4,4,0,25,60,20
মানবিক,সাধারণ গণিত,5,এক চলকবিশিষ্ট সমীকরণ,Equations in One Variable,Math,0,5,5,0,30,75,25
মানবিক,সাধারণ গণিত,6,"রেখা, কোণ ও ত্রিভুজ","Lines, Angles and Triangles",Math,0,4,5,0,25,70,25
মানবিক,সাধারণ গণিত,7,ব্যবহারিক জ্যামিতি,Practical Geometry,Math,0,3,4,0,20,55,20
মানবিক,সাধারণ গণিত,8,বৃত্ত,Circle,Math,0,4,5,0,25,70,25
মানবিক,সাধারণ গণিত,9,ত্রিকোণমিতিক অনুপাত,Trigonometric Ratios,Math,0,5,5,0,30,80,25
মানবিক,সাধারণ গণিত,10,দূরত্ব ও উচ্চতা,Distance and Height,Math,0,4,4,0,25,60,20
মানবিক,সাধারণ গণিত,11,বীজগাণিতিক অনুপাত ও সমানুপাত,Algebraic Ratio and Proportion,Math,0,4,4,0,25,60,20
মানবিক,সাধারণ গণিত,12,দুই চলকবিশিষ্ট সরল সহসমীকরণ,Simultaneous Linear Equations in Two Variables,Math,0,5,5,0,30,75,25
মানবিক,সাধারণ গণিত,13,সসীম ধারা,Finite Series,Math,0,4,4,0,25,60,20
মানবিক,সাধারণ গণিত,14,"অনুপাত, সদৃশতা ও প্রতিসমতা","Ratio, Similarity and Symmetry",Math,0,3,4,0,25,60,20
